Date,Platja,Municipi o comarca,Sexe,Age,Nationality or undocumented,Baywatch (Surveillance),Flag,Morts,Extra info
14/09/2019,Platja del Port Olivet de l’Ametlla de Mar (Baix Ebre,Baix Ebre,Home,31,espanyola,Servei de vigilància finalitzat,Desconeguda,1,14/09/2019 platja del Port Olivet de l’Ametlla de Mar (Baix Ebre). Home espanyol de 31 anys. No hi havia servei de socorrisme (havia finalitzat la temporada de vigilància a la platja). Marejol a la zona.
19/06/2018,Zona banys termals Riuet de Comarruga,El Vendrell,Dona,81,espanyola,No havia començat,Desconeguda,1,"19/06 Zona banys termals Riuet de Comarruga. El Vendrell, Dona espanyola de 81 anys (Platja vigilada però encara no havia començat el Servei de Socorrisme)"
21/06/2018,Platja gran de l’Estartit a Torroella de Montgrí,Baix Empordà,Home,65,francesa,Sí,Verda,1,21/06 Platja gran de l’Estartit a Torroella de Montgrí. Home francès de 60-65 anys. (Platja Vigilada amb bandera verda)
22/06/2018,Platja de l’Arenal a Vandellòs i Hospitalet de l’Infant,Baix Camp,Home,77,espanyola,Sí,Verda,1,22/06 Platja de l’Arenal a Vandellòs i Hospitalet de l’Infant. Home espanyol de 77 anys. (Platja vigilada amb bandera verda)
02/07/2018,Platja Fosca de Palamós,Baix empordà,Home,80,espanyola,Sí,Groga,1,2/07 Platja Fosca de Palamós. Home espanyol de 70-80 anys. (Platja Vigilada i amb bandera groga)
12/07/2018,Platja de Calafell,Baix Penedès,Dona,68,espanyola,Sí,Verda,1,12/07 Platja de Calafell. Dona espanyola de 68 anys. (Platja vigilada i amb bandera verda)
14/07/2018,Platja de Torredembarra,Tarragonès,Home,75,espanyola,Sí,Groga,1,14/07 Platja de Torredembarra. Home espanyol de 75 anys. (Platja vigilada i amb bandera groga)
14/07/2018,Platja de les Anquines (Sitges),Garraf,Home,37,italiana,Sí,Verda,1,14/07 platja de les Anquines. Sitges. Home italià de 37 anys. (Platja vigilada i amb bandera verda)
15/07/2018,Platja de Coma-ruga,Baix Penedès,Home,10,Desconeguda,Sí,Verda,1,15/07 platja de Coma-ruga. Vendrell. Nen de 10 anys. (platja vigilada i amb bandera verda) (El nen va morir a l’hospital)
18/07/2018,Platja de Sant Feliu de Guíxols (Baix Empordà,Baix Empordà,Dona,88,espanyola,Sí,Verda,1,18/07 platja de Sant Feliu de Guíxols (Baix Empordà). Dona espanyola de 88 anys. (platja vigilada i amb bandera verda). (Mort a l’hospital al dia següent)
03/08/2018,Platja de Lloret de Mar (La Selva,Alt Empordà,Dona,74,espanyola,Sí,Verda,1,03/08 platja de Lloret de Mar (La Selva) Dona espanyola de 74 anys (platja vigilada i amb bandera verda)
06/08/2018,Platja de Vilafortuny de Cambrils (Baix Camp,Baix Camp,Dona,71,kosovar,Sí,Verda,1,06/08 platja de Vilafortuny de Cambrils (Baix Camp). Dona de 71 anys Kosovar (platja vigilada i bandera verda)
12/08/2018,Platja de les Filipines de Viladecans,Baix Llobregat,Home,48,espanyola,Sí,Groga,1,12/08 platja de les Filipines de Viladecans. Home espanyol de 48 anys (platja vigilada i bandera groga)
21/08/2018,Platja dels Muntanyans de Torredembarra,Tarragones,Home,86,espanyola,Sí,Verda,1,21/08 platja dels Muntanyans de Torredembarra. Home espanyol de 86 anys (platja vigilada i bandera verda)
23/08/2018,Platja del Port de la Selva,Alt Empordà,Home,78,francesa,Sí,Verda,1,23/08 platja del Port de la Selva. Home francès de 78 anys (platja vigilada i bandera verda)
24/08/2018,Platja Canyelles petites de Roses,Alt Empordà,Home,68,francesa,Sí,Verda,1,24/08 platja Canyelles petites de Roses. Home francès de 68 anys (platja vigilada i bandera verda)
30/08/2018,Platja de la Pellisseta de Roda de Berà,Tarragonès,Home,87,espanyola,Sí,Verda,1,30/08 platja de la Pellisseta de Roda de Berà. Home espanyol de 87 anys (platja vigilada i amb bandera verda)
11/09/2018,Port Ginesta de Sitges,Garraf,Home,17,marroquina,Sense servei de vigilància,No,1,11/09 Port Ginesta de Sitges. Home marroquí de 17 anys (zona no vigilada)
12/09/2018,Platja Llarga de Tarragona,Tarragonès,Home,66,francesa,Sí,Verda,1,12/09 platja Llarga de Tarragona. Home francès de 66 anys (platja vigilada i amb bandera verda
17/06/2017,Platja de Les Delícies a Sant Carles de la Ràpita,Montsià,Home,39,espanyola,No havia començat,Desconeguda,1,17/06/2017 Platja de Les Delícies a Sant Carles de la Ràpita. Home de 39 anys de nacionalitat espanyola. (El servei de vigilància no havia començat)
17/06/2017,Platja Gran a Castell Platja d'Aro,Baix Empordà,Dona,79,alemanya,Sí,Verda,1,17/06/2017 Platja Gran a Castell Platja d'Aro. Dona de 79 anys de nacionalitat alemanya. Platja vigilada i amb bandera verda.
17/06/2017,Platja de Roses  ,Alt Empordà,Home,80,francesa,Sí,Verda,1,17/06/2017 Platja de Roses (no tenim el nom de la platja). Home francès de 80 anys. (Platja vigilada i amb bandera verda).
19/06/2017,Platja Gran de Lloret de Mar,Alt Empordà,Home,46,espanyola,Servei de vigilància finalitzat,No,1,19/06/2017 Platja Gran de Lloret de Mar. Home de 46 anys de nacionalitat espanyola. (Servei de vigilància finalitzat).
24/06/2017,Cap de Sant Pere a Cambrils,Baix Camp,Home,31,russa,Sí,Verda,1,24/06/2017 Cap de Sant Pere a Cambrils. Home de 31 anys de nacionalitat russa. (Platja vigilada i amb bandera verda)
27/06/2017,Platja del Borró a Colera,Alt Empordà,Home,69,belga,Sense servei de vigilància,No,1,27/06/2017 Platja del Borró a Colera. Home de 69 anys de nacionalitat belga. (Platja no vigilada).
07/07/2017,Platja del Miracle de Tarragona,Tarragonès,Home,18,espanyola,Sí,Vermella,1,07/07/2017 Platja del Miracle de Tarragona. Home de 18 anys de nacionalitat espanyola. Platja vigilada i amb bandera vermella.
10/07/2017,Platja de l’Arrabassada de Tarragona,Tarragonès,Home,76,espanyola,No havia començat,Desconeguda,1,10/07/2017 Platja de l’Arrabassada de Tarragona. Home espanyol de 76 anys. El servei de vigilància encara no havia començat
12/07/2017,Platja Gran de Platja d'Aro,Baix Empordà,Home,67,espanyola,Sí,Verda,1,12/07/2017 Platja Gran de Platja d'Aro. Home de 67 anys de nacionalitat espanyola. (Platja vigilada i amb bandera verda).
13/07/2017,Platja Rubina de Castelló d’Empúries,Alt Empordà,Home,81,australiana,Sense servei de vigilància,No,1,13/07/2017 Platja Rubina de Castelló d’Empúries. Home de 81 anys de nacionalitat australiana. (Platja No vigilada).
18/07/2017,Platja Rastrell de Roses,Alt Empordà,Home,68,francesa,Sí,Groga,1,18/07/2017 Platja Rastrell de Roses. Home de 68 anys de nacionalitat francesa. (Platja vigilada i amb bandera groga).
20/07/2017,Platja Ibersol de Vilanova i la Geltrú,Garraf,Home,73,espanyola,Sí,Groga,1,20/07/2017 Platja Ibersol de Vilanova i la Geltrú. Home de 73 anys de nacionalitat espanyola. (Platja vigilada i amb bandera groga).
26/07/2017,Platja del Rec del Molí de L'Escala,Alt Empordà,Home,72,francesa,Sense servei de vigilància,No,1,26/07/2017 Platja del Rec del Molí de L'Escala. Home de 72 anys de nacionalitat francesa (Platja no vigilada)
29/07/2017,Cap sa sal de Begur,Baix Empordà,Home,86,francesa,Sense servei de vigilància,No,1,29/07/2017 Cap sa sal de Begur. Home de 86 anys de nacionalitat francesa. (Platja no vigilada)
03/08/2017,Platja del Sortell de Cadaqués,Alt Empordà,Dona,79,espanyola,Sense servei de vigilància,No,1,03/08/2017 Platja del Sortell de Cadaqués. Dona de 79      anys de nacionalitat espanyola. (Platja no vigilada)
06/08/2017,Platja de la Mota de Cubelles,Garraf,Home,56,espanyola,Sí,Verda,1,06/08/2017 Platja de la Mota de Cubelles. Home de 56 anys de nacionalitat espanyola. (Platja vigilada i amb bandera verda)
06/08/2017,Platja del Far de  Vilanova i la Geltrú,Garraf,Dona,17,marroquina,Servei de vigilància finalitzat,Verda,1,"06/08/2017 Platja del Far de  Vilanova i la Geltrú. Dona de 17 anys de nacionalitat marroquina. (Servei de vigilància ja finalitzat, durant  el dia la bandera havia sigut verda)"
07/08/2017,Platja Sant Pol de Sant Feliu de Guíxols,Baix Empordà,Home,79,espanyola,No havia començat,Desconeguda,1,07/08/2017 Platja Sant Pol de Sant Feliu de Guíxols. Home de 79 anys de nacionalitat espanyola (El servei de vigilància no havia començat)
07/08/2017,Platja Gran de Platja d'Aro,Baix Empordà,Home,41,italiana,Sí,Verda,1,07/08/2017 Platja Gran de Platja d'Aro. Home de 41 anys de nacionalitat italiana. (Platja vigilada i amb bandera verda)
08/08/2017,Platja Miracle de Tarragona,Tarragonès,Home,26,romanesa,Sí,Groga,1,08/08/2017 Platja Miracle de Tarragona. Home de 26 anys de nacionalitat romanesa (Platja vigilada i durant el dia havien tingut bandera groga i vermella per mala mar).
11/08/2017,Platja de la Barceloneta de Barcelona,Barcelonès,Home,57,espanyola,Sí,Verda,1,11/08/2017 platja de la Barceloneta de Barcelona. Home de 57 anys de nacionalitat espanyola. (Platja vigilada i amb bandera verda)
28/08/2017,Platja de la Barceloneta de Barcelona,Barcelonès,Home,77,espanyola,No havia començat,Desconeguda,1,28/08/2017 Platja Cristal de Vandellòs i Hospitalet de l'Infant. Home de 77 anys de nacionalitat espanyola. (El servei de vigilància encara no havia començat)
18/06/2016,Cases d'Alcanar,Montsià,Home,67,espanyola,Sense servei de vigilància,No,1,"18/06/2016: Cases d'Alcanar (Alcanar) (Montsià). Home de nacionalitat espanyola de 67 anys. Platja no Vigilada. (Cala no vigilada al costat de les Cases d'Alcanar, on hi havia bandera VERDA."
19/06/2016,Platja Cristall (Mont-roig del Camp,Baix Camp,Home,75,belga,Sí,Verda,1,19/06/2016: Platja Cristall (Mont-roig del Camp) (Baix Camp). Home de nacionalitat belga de 75 anys. Platja Vigilada. Bandera verda
19/06/2016,Platja Cristall (Mont-roig del Camp,Baix Camp,Dona,71,espanyola,Sí,Verda,1,19/06/2016: Platja Cristall (Mont-roig del Camp) (Baix Camp). Dona de nacionalitat espanyola de 71 anys. Plaja Vigilada. Bandera verda.
24/06/2016,Cal Cristià (Sant Pere Pescador),Alt Empordà,Home,60,espanyola,Sí,Verda,1,24/06/2016: Cal Cristià        (Sant Pere Pescador) (Alt Empordà). Home de nacionalitat espanyola de 60 anys. Platja vigilada. Bandera verda.
30/06/2016,Platja Somorrostro de Barcelona,Barcelonès,Dona,70,Desconeguda,Sí,Verda,1,30/06/2016: Platja Somorrostro de Barcelona. Dona d’uns 70 anys. Platja vigilada i bandera verda. Mor a l’hospital del Mar
25/07/2016,Platja de Ponent (Salou),Tarragonès,Home,79,espanyola,Sí,Groga,1,25/07/2016: Ponent (Salou) (Tarragonès). Home de nacionalitat espanyola de 79 anys. Platja vigilada. Bandera groga.
02/08/2016,Platja Gran (Cadaqués,Alt Empordà,Home,84,belga,Sense servei de vigilància,No,1,02/08/2016: Platja Gran (Cadaqués) (Alt Empordà). Home de nacionalitat belga de 84 anys. Platja no vigilada.
03/08/2016,Platja de la Pineda (Vila-seca),Tarragonès,Dona,73,alemanya,Sí,Verda,1,03/08/2016: Pineda (Vila-seca) (Tarragonès) Dona de nacionalitat alemanya de 73 anys. Platja vigilada. Bandera verda.
11/08/2016,Platja de la Gola de Torroella de Montgrí,Baix Empordà,Home,55,alamanya,Sense servei de vigilància,No,1,11/08/2016: platja de la Gola de Torroella de Montgrí. Home alemany de 55 anys. Platja no vigilada. Mor a l’hospital
12/08/2016,Cala Canyadell (Torredembarra,Tarragonès,Home,58,alemanya,Sí,Verda,1,12/08/2016: Cala Canyadell (Torredembarra) (Tarragonès) Home de nacionalitat alemanya de 58 anys. Platja vigilada. Bandera verda.
15/08/2016,Platja Palangrers de Roses,Alt Empordà,Home,71,espanyola,Sí,Verda,1,15/08/2016: Platja Palangrers de Roses. Home espanyol de 71 anys. Platja vigilada i bandera verda
30/08/2016,Platja Cala Font de Salou,Tarragonès,Home,80,russa,Sense servei de vigilància,No,1,30/08/2016: Platja Cala Font de Salou. Home rus de 80 anys. Platja no vigilada
03/09/2016,Platja de l’Almadrava de Roses,Alt Empordà,Dona,82,francesa,Sí,Verda,1,03/09/2016: Platja de l’Almadrava de Roses. Dona francesa de 82 anys. Platja vigilada i bandera verda
06/09/2016,Platja Mar Blau de Calafell,Baix Penedès,Home,71,espanyola,Sí,Verda,1,06/09/2016: Platja Mar Blau de Calafell. Home espanyol de 71 anys. Platja vigilada i bandera verda
07/09/2016,Cala Rovira de Castell-Platja d’Aro,Baix Empordà,Home,85,espanyola,Sí,Verda,1,07/09/2016: Cala Rovira de Castell-Platja d’Aro. Home espanyol de 85 anys. Platja vigilada i bandera verda.
08/09/2016,Platja de les Botigues de Sitges (Garraf,Garraf,Dona,75,Desconeguda,Sí,Verda,1,08/09/2016: Botigues (Sitges) (Garraf). Dona de 75 anys (no ens consta la nacionalitat). Platja vigilada. Bandera verda..
08/09/2016,Platja Menuda (Tossa de Mar),La Selva,Home,48,Desconeguda,Sí,Verda,1,08/09/2016: Menuda (Tossa de Mar) (Selva) Home de 48 anys (no ens consta la nacionalitat). Platja vigilada. Bandera verda.
11/09/2016,Avda. Rhode (Roses) ,Alt Empordà,Dona,53,francesa,Sí,Verda,1,11/09/2016: Avda. Rhode (Roses) (Alt Empordà) Dona de nacionalitat francesa de 53 anys. Platja vigilada. Bandera verda.
11/09/2016,Platja del Llevant (Salou),Tarragonès,Dona,65,francesa,Sí,Verda,1,11/09/2016: Llevant (Salou) (Tarragonès). Dona de nacionalitat        francesa de 65 anys. Platja vigilada amb bandera verda.
13/09/2016,Platja del Llevant (Salou),Tarragonès,Home,92,espanyola,Sí,Verda,1,13/09/2016: Llevant (Salou) (Tarragonès) Home de nacionalitat espanyola de 92 anys. Platja vigilada. Bandera verda.
20/06/2015,Platja sa Boadella (Lloret Mar,La Selva,Dona,48,espanyola,Sí,Verda,1,20/06/2015: Platja sa Boadella (Lloret Mar) (La Selva). D ona de nacionalitat espanyola de 48 anys. Platja vigilada. Bandera verda.
29/06/2015,Platja de Malgrat ,Maresme,Home,70,Desconeguda,Sí,Verda,1,29/06/2015: Malgrat centre (Malgrat de Mar) (Maresme): Home de 70 anys (no ens consta la nacionalitat). Platja vigilada. Bandera verda
01/07/2015,Platja la Madriguera (Vendrell,Baix Penedès,Home,84,espanyola,Sí,Verda,1,01/07/2015: Platja la Madriguera (Vendrell) (Baix Penedès) Home de nacionalitat espanyola de 84 anys. Platja vigilada. Bandera verda.
01/07/2015,Platja Riells (l'Escala,Alt Empordà,Home,67,espanyola,Sí,Verda,1,01/07/2015: Platja Riells (l'Escala) (Alt Empordà) Home de nacionalitat espanyola de 67 anys. Platja vigilada. Bandera Verda
06/07/2015,Platja Barca Maria (Badalona,Barcelonès,Home,70,Desconeguda,Sí,Verda,1,06/07/2015: Platja Barca Maria (Badalona) (Barcelonès) Home de 70 anys (no ens consta nacionalitat). Platja vigilada. Bandera verda.
12/07/2015,Platja de la Ribera        (Sitges,Garraf,Home,desconeguda,surcoreana,Sí,Verda,1,12/07/2015: Platja de la Ribera        (Sitges)        (Garraf) Home de nacionalitat surcoreana. Platja vigilada. Bandera verda.
13/07/2015,Platja Pixavaques (l’Ametlla de Mar,Baix Ebre,Home,50,britànica,Sí,Verda,1,13/07/2015: Platja Pixavaques (l’Ametlla de Mar) (Baix Ebre) Home de nacionalitat britànica de 50 anys. Platja vigilada. Bandera verda.
15/07/2015,Platja Santa Margarida de Roses,Alt Empordà,Home,62,espanyola,Servei de vigilància finalitzat,Desconeguda,1,15/07/2015: Platja Santa Margarida de Roses. Home espanyol de 62 anys. Mort fora l’horari de vigilància
22/07/2015,Platja Llevant (Salou,Tarragonès,Dona,64,espanyola,Servei de vigilància finalitzat,Desconeguda,1,22/07/2015: Platja Llevant (Salou) (Tarragonès) Dona de nacionalitat espanyola de 64 anys. Platja vigilada. Ja havia finalitzat el servei de socorrisme.
23/07/2015,Sa Caleta (Lloret Mar,La Selva,Home,78,espanyola,Sí,Verda,1,23/07/2015: Sa Caleta (Lloret Mar) (la Selva) Home de nacionalitat espanyola de 78 anys. Platja vigilada. Bandera verda.
25/07/2015,Platja de Sant Sebastà (Sitges),Garraf,Home,53,espanyola,Sí,Groga,1,25/07/2015: Sant Sebastià (Sitges) (Garraf)        Home de nacionalitat espanyola de 53 anys. Platja vigilada. Bandera groga.
30/07/2015,Platja Capellans (Tarragona,Tarragonès,Dona,48,Desconeguda,No consta,No consta,1,30/07/2015: Platja Capellans (Tarragona) (Tarragonès) Dona de 48 anys (no consta nacionalitat (no consten dades de vigilància ni bandera)
30/07/2015,Platja de Llevant (Cunit,Baix Penedès,Dona,84,espanyola,Sí,Groga,1,30/07/2015: Platja de Llevant (Cunit) (Baix Penedès) Dona de nacionalitat espanyola de 84 anys. Platja vigilada. Bandera groga.
03/08/2015,Platja de Sant Salvador (El Vendrell,Baix Penedès,Home,80,espanyola,Sí,Groga,1,03/08/2015: Platja de Sant Salvador (El Vendrell) (Baix Penedès) Home de nacionalitat espanyola de 80 anys. Platja vigilada. Bandera groga.
15/08/2015,Cala Salionç (Tossa de Mar,La Selva,Home,70,espanyola,Sí,Verda,1,15/08/2015: Cala Salionç (Tossa de Mar) (La Selva) Home de nacionalitat espanyola de 70 anys. Platja vigilada. Bandera verda.
30/08/2015,Cala Roca Plana (Tarragona,Tarragonès,Home,45,espanyola,Sense servei de vigilància,No,1,30/08/2015: Cala Roca Plana (Tarragona) (Tarragonès)Home de nacionalitat espanyola de 45 anys. Platja no vigilada.
01/09/2015,Platja de Santa Margarida (Roses,Alt Empordà,Home,74,alemanya,Sense servei de vigilància,No,1,01/09/2015: Santa Margarida (Roses) (Alt Empordà)Home de nacionalitat alemanya de 74 anys. Platja no vigilada.
01/09/2015,Platja de Gavà,Baix Llobregat,Home,68,espanyola,Sí,Verda,1,01/09/2015: Gavà (Gavà) (Baix Llobregat) Home de nacionalitat espanyola de 68 anys. Platja vigilada. Bandera verda.
01/09/2015,Platja de l'Arrabassada,Tarragonès,Home,54,espanyola,Sí,Desconeguda,1,01/09/2015: Arrabassada (Tarragona) (Tarragonès) Home de nacionalitat espanyola de 54 anys. Platja vigilada. No consta color de la bandera.
02/09/2015,Cala Roca Plana (Tarragona,Tarragonès,Dona,48,espanyola,Sense servei de vigilància,No,1,02/09/2015: Cala Roca Plana (Tarragona) (Tarragonès)        Dona de nacionalitat espanyola de 48 anys. Platja no vigilada.
05/09/2015,Platja de Calafell (Baix Penedès),Baix Penedès,Dona,75,alemanya,Sí,Groga,1,05/09/2015: Calafell (Baix Penedès) Dona de nacionalitat alemanya de  75 anys. Platja vigilada. Bandera groga.