Comarca,count
Alt Empordà                      ,59
Tarragonès                        ,40
Baix Empordà                      ,28
Garraf                            ,22
Baix Camp                         ,18
Baix Penedès                      ,12
Barcelonès                         ,7
Baix Ebre                          ,6
Maresme                            ,6
La Selva                           ,5
Baix Llobregat                     ,4
Montsià                            ,3
Barcelona                          ,2
Tarragona                          ,2
El Vendrell                        ,2
Canet de Mar                       ,1
Baix Llobregat (Baix Llobregat     ,1
Selva                              ,1
Baix Empordà                      ,1